meizu	100020	-	4	0
oppo	100005	1000127	8	0
oppo	100005	1000125	3	0
oppo	100019	1000047	20	0
oppo	100019	1000042	13	0
letv	100018	1000379	1	0
vivo	100014	1000176	8	0
huawei	100004	1000027	11	0
huawei	100027	1000357	7	0
apple	100027	1000357	2	0
apple	100023	1000206	2	0
yulong	100006	1000055	1	0
apple	100017	1000128	3	0
apple	100018	1000222	4	0
gionee	100023	1000311	1	0
apple	100007	1000261	1	0
vivo	100021	1000057	4	0
yulong	100005	1000365	1	0
xiaomi	100017	1000289	1	0
xiaomi	100003	1000072	7	0
hisense	100031	1001606	1	0
apple	100016	-	60	0
meizu	100007	1000015	1	0
doov	100020	-	1	0
vivo	100016	1000075	23	0
vivo	100005	-	7	0
vivo	100026	1000124	0	0
vivo	100016	1000078	32	0
cmdc	100028	1000051	0	0
vivo	100015	1000108	2	0
yulong	100008	-	1	0
gionee	100012	1000218	1	0
others	100024	1000185	1	0
vivo	100015	1000103	5	0
samsung	100023	1000010	5	0
huawei	100012	1001564	2	0
vivo	100004	1000142	17	0
zte	100006	-	2	0
xiaomi	100031	1000053	2	0
oppo	100015	1000179	7	0
vivo	100014	1000204	10	0
apple	100028	1000376	2	0
xiaomi	100018	1000097	1	0
oppo	100014	-	26	0
doov	100010	1000117	1	0
huawei	100027	1000178	2	0
vivo	100018	1000130	4	0
oppo	100015	1000174	11	0
oppo	100016	1000327	1	0
vivo	100015	1000073	8	0
lovme	100012	1000020	1	0
vivo	100015	1000079	14	0
vivo	100025	1001462	1	0
huawei	100016	1000075	9	0
meizu	100017	1000249	1	0
coolpad	100019	1000093	1	0
cmdc	100013	-	1	0
meizu	100016	1000243	1	0
oppo	100007	1000246	1	0
huawei	100016	1000078	13	0
huawei	100018	1000130	4	0
hisense	100012	1000020	1	0
vivo	100016	1001651	17	0
apple	100010	1000090	3	0
huawei	100008	1000016	3	0
huawei	100008	1000014	12	0
oppo	100016	1000181	11	0
letv	100010	1000018	2	0
huawei	100012	1000165	2	0
others	100010	1000039	2	0
apple	100021	1000057	4	0
apple	100021	1000050	11	0
others	100004	1000142	3	0
others	100010	1000031	1	0
others	100010	1000034	2	0
oppo	100015	1000081	11	1
oppo	100015	1000080	9	0
apple	100014	-	23	0
vivo	100008	1001607	2	0
lenovo	100014	1000068	1	0
xiaomi	100027	1000301	2	0
apple	100016	1000113	3	0
apple	100020	1000240	1	0
yulong	100004	1000238	1	0
meizu	100002	100002	3	0
vivo	100031	1000336	7	0
oppo	100008	1000384	1	0
oppo	100008	1000385	1	0
htc	100018	1000013	1	0
apple	100024	1000332	3	0
letv	100019	1000035	7	0
xiaomi	100004	1000238	2	0
zte	100015	1000040	1	0
gionee	100010	1000034	1	0
vivo	100008	1000126	1	0
gionee	100010	1000031	1	0
oppo	100007	1000015	4	0
gionee	100016	1000049	1	0
gionee	100015	1000008	2	0
gionee	100015	1000009	1	0
meizu	100015	1000103	2	0
meizu	100017	1000154	1	0
oppo	100016	-	85	0
xiaomi	100015	1000179	1	0
vivo	100007	1000015	8	0
xiaomi	100015	1000174	2	0
meizu	100015	1000108	3	0
samsung	100019	1000035	8	0
letv	100004	1000027	2	0
huawei	100017	1000128	5	0
xiaomi	100010	1000002	2	0
meizu	100019	1001644	4	0
lovme	100017	-	1	0
huawei	100020	1000069	0	0
yulong	100016	-	3	0
letv	100010	1000162	1	0
nubia	100019	1000323	1	0
oppo	100020	1001617	2	0
oppo	100020	1001616	1	0
huawei	100024	1000024	12	0
huawei	100025	1000193	2	0
xiaomi	100020	1000214	0	0
letv	100017	-	0	0
zte	100012	1000020	1	0
xiaomi	100020	1001616	1	0
oppo	100023	1000111	5	0
vivo	100028	1000344	2	0
huawei	100003	1000072	8	0
meizu	100023	1000170	2	0
huawei	100031	1001606	1	0
oppo	100024	1000332	20	0
huawei	100020	1000240	0	0
apple	100019	1000107	4	0
samsung	100027	1000178	1	0
vivo	100019	1000030	1	0
huawei	100031	1001591	1	0
vivo	100019	1000035	42	0
samsung	100027	1000001	8	0
vivo	100020	1001616	1	0
oppo	100019	1001701	8	0
oppo	100018	1000088	13	0
oppo	100018	1000089	11	0
vivo	100030	1000360	3	0
vivo	100023	1000213	6	0
samsung	100015	1000029	3	0
lenovo	100011	1000109	1	0
apple	100006	1000286	1	0
oppo	100006	1000055	5	0
xiaomi	100015	1000008	3	0
xiaomi	100015	1000009	8	0
samsung	327	-	0	0
oppo	100031	1001591	5	0
oppo	100018	1000263	10	0
gionee	100008	1000361	3	0
yulong	100012	1000196	2	0
oppo	100025	1001462	2	0
apple	100015	1000103	5	0
oppo	100014	1000204	3	0
apple	100015	1000108	1	0
vivo	100023	1000132	3	0
xiaomi	100017	-	32	0
gionee	100023	1000010	3	0
vivo	100028	1000358	4	0
oppo	100017	1000249	13	0
others	100004	1000027	3	0
oppo	100031	-	9	0
meizu	100004	1000123	2	0
lenovo	100011	1000006	1	0
others	100015	-	6	0
meizu	100023	1000191	1	0
apple	100015	1000036	1	0
others	100013	1000048	4	0
hisense	100015	1000043	1	0
letv	100015	-	1	0
vivo	100031	1000349	3	0
oppo	100006	1001611	1	0
huawei	100011	-	16	0
meizu	100019	1000022	6	0
apple	100021	1001483	2	0
huawei	100014	1000150	9	0
oppo	327	-	7	0
huawei	100021	1001490	3	0
oppo	100003	1000106	1	0
lenovo	100015	1000194	1	0
meizu	100010	1000162	1	0
apple	100012	1000196	10	0
apple	100012	1000195	2	0
gionee	100003	-	1	0
apple	100011	1000129	3	0
xiaomi	100009	100009	15	1
meizu	100018	1000156	3	0
xiaomi	100024	1000356	1	0
xiaomi	100024	1000355	2	0
huawei	100006	1000235	1	0
vivo	100008	1000309	0	0
others	100017	1001647	1	0
vivo	100027	1000001	37	0
apple	100028	1001565	1	0
gionee	100017	1000249	1	0
xiaomi	100020	1000069	1	0
vivo	100019	1000152	6	0
yulong	100020	1000214	1	0
oppo	100013	-	11	0
xiaomi	100031	1001606	1	0
huawei	100011	1000028	11	0
vivo	100006	-	4	0
others	100015	1000073	2	0
lenovo	100017	-	1	0
oppo	100031	1001615	8	0
oppo	100031	1001614	2	0
kopo	100015	-	1	0
others	100010	1000098	5	0
oppo	100006	1000235	1	0
